publisher,app_name,title,año de lanzamiento,price,developer,genres,tags
Dovetail Games - Trains,Train Simulator: ÖBB 4020 EMU Add-On,Train Simulator: ÖBB 4020 EMU Add-On,2017-02-16,19.99,Dovetail Games,Simulation,Simulation
Dovetail Games - Trains,Train Simulator: Mittenwaldbahn: Garmisch-Partenkirchen - Innsbruck Route Add-On,Train Simulator: Mittenwaldbahn: Garmisch-Partenkirchen - Innsbruck Route Add-On,2017-02-16,39.99,Dovetail Games,Simulation,Simulation
Skylar Stickley,Canvas The Gallery,Canvas The Gallery,2017-02-16,Free,Skylar Stickley,Casual|Free to Play|Indie|Simulation,Free to Play|Casual|Simulation|Indie|Singleplayer|Relaxing|VR
HexWar Games,Tank Battle: 1945,Tank Battle: 1945,2017-02-16,9.99,HexWar Games,Strategy,Strategy
Stardock Entertainment,Ashes of the Singularity: Escalation - Epic Map Pack DLC,Ashes of the Singularity: Escalation - Epic Map Pack DLC,2017-02-16,2.99,"Stardock Entertainment,Oxide Games",Indie|Simulation|Strategy,Strategy|Indie|Simulation
Games++,Mall Empire,Mall Empire,2017-02-16,3.99,Games++,Casual|Indie,Indie|Casual
Stardock Entertainment,Ashes of the Singularity: Escalation - Overlord Scenario Pack DLC,Ashes of the Singularity: Escalation - Overlord Scenario Pack DLC,2017-02-16,2.99,"Stardock Entertainment,Oxide Games",Indie|Simulation|Strategy,Strategy|Indie|Simulation
Stardock Entertainment,Ashes of the Singularity: Escalation - Turtle Wars DLC,Ashes of the Singularity: Escalation - Turtle Wars DLC,2017-02-16,2.99,"Stardock Entertainment,Oxide Games",Indie|Simulation|Strategy,Strategy|Indie|Simulation
Stardock Entertainment,Ashes of the Singularity: Escalation - Gauntlet DLC,Ashes of the Singularity: Escalation - Gauntlet DLC,2017-02-16,2.99,"Stardock Entertainment,Oxide Games",Indie|Simulation|Strategy,Strategy|Indie|Simulation
Dusenberry Martin Racing,The NASCAR Foundation Pack,The NASCAR Foundation Pack,2017-02-17,4.99,Monster Games,Racing,Racing
4FreaksFiction,NakedMan VS The Clothes,NakedMan VS The Clothes,2017-02-17,1.99,4FreaksFiction,Action|Adventure|Indie,Indie|Action|Adventure|Platformer|Retro|Difficult|Funny|Side Scroller|Nudity
Perfuse Entertainment,Golf It!,Golf It!,2017-02-17,8.99,Perfuse Entertainment,Casual|Indie|Simulation|Sports|Early Access,Early Access|Simulation|Multiplayer|Sports|Casual|Mini Golf|Indie|Golf|Funny|Sandbox|Level Editor|Singleplayer
Dusenberry Martin Racing,Pit Pass 5,Pit Pass 5,2017-02-17,Free,Monster Games,Racing,Racing
Double Coconut,Roofbot,Roofbot,2017-02-17,4.99,Koreez,Adventure|Casual|Indie,Adventure|Indie|Casual|Puzzle|Great Soundtrack|Relaxing
KISS ltd,Pixel Puzzles Junior,Pixel Puzzles Junior,2017-02-17,9.99,DL Softworks,Adventure|Casual|Indie|Simulation|Sports|Strategy,Casual|Indie|Simulation|Strategy|Adventure|Sports|Puzzle
IBOLOGY LLC,The Curse Of Yendor,The Curse Of Yendor,2017-02-17,4.99,IBOLOGY LLC,Action|Adventure|Indie|RPG|Strategy,Adventure|Indie|RPG|Action|Strategy|Rogue-like
Blake Garner,Entangle,Entangle,2017-02-17,5.99,Blake Garner,Casual|Indie,Puzzle|Casual|Minimalist|Indie|Colorful|Relaxing|Mouse only|Singleplayer
Cats Who Play,Syrian Warfare,Syrian Warfare,2017-02-21,19.99,Cats Who Play,Indie|Strategy,Strategy|Military|Tactical|RTS|Real Time Tactics|War|Indie|Singleplayer
Quiet River,Zup! 4,Zup! 4,2017-02-20,0.99,Quiet River,Casual|Indie,Indie|Casual|Puzzle|Minimalist|Short|2D|Singleplayer
"Presto Studios, Inc",The Journeyman Project 1: Pegasus Prime,The Journeyman Project 1: Pegasus Prime,1997-06-19,9.99,"Presto Studios, Inc.",Adventure|Casual|Indie,Adventure|Indie|Casual|FMV|Point & Click|Time Travel|Classic
BindleBot,Spoids,Spoids,2017-02-20,1.99,AirWave Games,Action|Indie|Strategy,Indie|Strategy|Action|Tower Defense
Back To Basics Gaming,FEMINAZI: The Triggering,FEMINAZI: The Triggering,2017-02-20,0.99,"hyperboreanGames,Svarog Studios",Action|Casual|Indie|Simulation,Memes|Indie|Casual|Action|Simulation|Singleplayer|Character Customization|Arcade|GameMaker|Cartoony|Great Soundtrack|Funny|Psychological Horror|Education|Illuminati|Cartoon|Soundtrack|Story Rich|Nudity|Pixel Graphics
Gameland Studios,A Shooty Bit,A Shooty Bit,2017-02-20,1.99,Gameland Studios,Action|Indie,Action|Indie|Shoot 'Em Up
Back To Basics Gaming,FEMINAZI: The Triggering Soundtrack,FEMINAZI: The Triggering Soundtrack,2017-02-21,0.99,"hyperboreanGames,Svarog Studios",Casual|Indie,Casual|Indie
White Dog,Cavern Escape,Cavern Escape,2017-02-20,0.99,White Dog,Action|Adventure|Casual|Indie,Adventure|Casual|Indie|Action|Puzzle-Platformer|2D|Arcade|Singleplayer|Underwater|Family Friendly|Dark|Short|Fast-Paced|Quick-Time Events|Soundtrack|Drama|Platformer|Minimalist|Gore|Great Soundtrack
PlayWay S.A.,Car Mechanic Simulator 2015 - Total Modifications,Car Mechanic Simulator 2015 - Total Modifications,2017-02-20,2.99,Red Dot Games,Indie|Racing|Simulation,Racing|Simulation|Indie
TarbuttonStudio,Holo-Graham,Holo-Graham,2017-02-20,3.99,TarbuttonStudio,Adventure|Casual|Strategy,Casual|Adventure|Strategy
Falling Star Studio,Beyond Magic,Beyond Magic,2017-02-20,2.99,Falling Star Studio,Adventure|Casual|Indie|RPG,Adventure|Indie|Casual|RPG|RPGMaker
Clickteam,Vincere Totus Astrum,Vincere Totus Astrum,2017-02-20,3.99,Gamesare,Strategy,Strategy
"CAPCOM Co., Ltd.",Banned Footage Vol.1,Banned Footage Vol.1,2017-02-20,9.99,"CAPCOM Co., Ltd.",Action|Adventure,Action|Adventure|Violent|Gore
KISS ltd,Pixel Puzzles Ultimate - Puzzle Pack: Chernobyl,Pixel Puzzles Ultimate - Puzzle Pack: Chernobyl,2017-02-21,4.99,DL Softworks,Action|Adventure|Casual|Free to Play|Indie|Simulation|Sports|Strategy,Strategy|Action|Adventure|Indie|Casual|Simulation|Sports|Free to Play
KISS ltd,Pixel Puzzles Ultimate - Puzzle Pack: Volcanoes,Pixel Puzzles Ultimate - Puzzle Pack: Volcanoes,2017-02-21,2.99,DL Softworks,Action|Adventure|Casual|Free to Play|Indie|Simulation|Sports|Strategy,Strategy|Action|Adventure|Free to Play|Indie|Casual|Simulation|Sports
Bob Corporation,bob's game,bob's game,2017-02-21,Free,Robert Pelloni,Action|Casual|Indie,Indie|Casual|Action
"YarGri, EHTechnology",Moccasin,Moccasin,2017-02-21,0.99,"YarGri,EHTechnology",Action|Adventure|Indie,Action|Adventure|Indie
phime studio LLC,Mad Dojo,Mad Dojo,2017-02-21,4.99,phime studio LLC,Action|Indie|Early Access,Early Access|Indie|Action|Ninja|Difficult|Platformer|Pixel Graphics|Sports|Singleplayer|Retro
Virtual Racing Industries Ltd.,VRC PRO Asia On-road tracks Deluxe 2,VRC PRO Asia On-road tracks Deluxe 2,2017-02-21,6.99,Virtual Racing Industries Ltd.,Action|Casual|Indie|Racing|Simulation|Sports,Action|Indie|Casual|Simulation|Racing|Sports
Virtual Racing Industries Ltd.,VRC PRO Americas On-road tracks Deluxe,VRC PRO Americas On-road tracks Deluxe,2017-02-21,9.99,Virtual Racing Industries Ltd.,Action|Casual|Indie|Racing|Simulation|Sports,Action|Indie|Casual|Simulation|Racing|Sports
Dusenberry Martin Racing,2017 Team Update,2017 Team Update,2017-02-21,9.99,Monster Games,Racing,Racing
Stolpskott Studios,Storage Inc 2,Storage Inc 2,2017-02-21,9.99,Stolpskott Studios,Casual|Indie,Indie|Casual
"Psyonix, Inc.",Rocket League® - Hot Wheels® Bone Shaker™,Rocket League® - Hot Wheels® Bone Shaker™,2017-02-21,1.99,"Psyonix, Inc.",Action|Indie|Racing|Sports,Action|Indie|Racing|Sports
"Psyonix, Inc.",Rocket League® - Hot Wheels® Twin Mill™ III,Rocket League® - Hot Wheels® Twin Mill™ III,2017-02-21,1.99,"Psyonix, Inc.",Action|Indie|Racing|Sports,Racing|Action|Indie|Sports
Soverance Studios,Ethereal Legends,Ethereal Legends,2017-02-21,9.99,Soverance Studios,Action|Adventure|Indie|RPG,Action|Adventure|RPG|Indie
"KOEI TECMO GAMES CO., LTD.",BERSERK and the Band of the Hawk,BERSERK and the Band of the Hawk,2017-02-21,59.99,"KOEI TECMO GAMES CO., LTD.",Action,Anime|Action|Hack and Slash|Sexual Content|Violent|Gore|Dark Fantasy|Nudity|Story Rich|Singleplayer|Mature|Great Soundtrack|Horror|Casual|Memes
Finji,Night in the Woods,Night in the Woods,2017-02-21,19.99,Infinite Fall,Adventure,Story Rich|Great Soundtrack|Atmospheric|Adventure|Indie|Female Protagonist|Singleplayer|Colorful|Cute|2D|Exploration|Funny|Mystery|Platformer|Drama|Walking Simulator|Kickstarter|Side Scroller|Horror|Psychological Horror
Polygon Art,Beyond Enemy Lines,Beyond Enemy Lines,2017-02-21,18.99,Polygon Art,Action|Indie,Action|Indie|Tactical|Cold War|War|Wargame|Difficult
BANDAI NAMCO Entertainment,Tales of Berseria™ - Adventure Item Pack 5,Tales of Berseria™ - Adventure Item Pack 5,2017-02-21,Free,BANDAI NAMCO Studios Inc.,Action|RPG,Action|RPG
BANDAI NAMCO Entertainment,Tales of Berseria™ - Tales of Legacy Bundle,Tales of Berseria™ - Tales of Legacy Bundle,2017-02-21,6.99,BANDAI NAMCO Studios Inc.,Action|RPG,Action|RPG
Re-Logic,Pixel Privateers,Pixel Privateers,2017-02-21,14.99,Quadro Delta,Action|Adventure|Indie|RPG|Simulation,Indie|RPG|Action|Adventure|Pixel Graphics|Simulation|Loot|Co-op|2D|Sci-fi|Multiplayer
"WayForward, GamePump",LIT,LIT,2017-02-21,5.99,WayForward,Indie|Strategy,Strategy|Indie|Puzzle
"KOEI TECMO GAMES CO., LTD.",BERSERK - Exclusive Costumes,BERSERK - Exclusive Costumes,2017-02-21,Free to Play,"KOEI TECMO GAMES CO., LTD.",Action,Action
Big Fish Games,Dark Realm: Queen of Flames Collector's Edition,Dark Realm: Queen of Flames Collector's Edition,2017-02-21,9.99,Mad Head Games,Adventure|Casual,Adventure|Casual|Hidden Object
Re-Logic,Pixel Privateers - Official Soundtrack,Pixel Privateers - Official Soundtrack,2017-02-21,4.99,"Quadro Delta,Kole Audio Solutions",Action|Adventure|Indie|RPG|Simulation,Action|Adventure|RPG|Indie|Simulation
"KOEI TECMO GAMES CO., LTD.",NOBUNAGA’S AMBITION: Sengoku Gunyuuden / 信長の野望・戦国群雄伝,NOBUNAGA’S AMBITION: Sengoku Gunyuuden / 信長の野望・戦国群雄伝,2017-02-21,19.99,"KOEI TECMO GAMES CO., LTD.",Strategy,Strategy
"KOEI TECMO GAMES CO., LTD.",Romance of the Three Kingdoms Ⅲ / 三國志Ⅲ,Romance of the Three Kingdoms Ⅲ / 三國志Ⅲ,2017-02-21,19.99,"KOEI TECMO GAMES CO., LTD.",Strategy,Strategy
"KOEI TECMO GAMES CO., LTD.",Bandit Kings of Ancient China / 水滸伝・天命の誓い,Bandit Kings of Ancient China / 水滸伝・天命の誓い,2017-02-21,12.99,"KOEI TECMO GAMES CO., LTD.",Strategy,Strategy
"KOEI TECMO GAMES CO., LTD.",BERSERK - Guts Costume: Banquet Attire,BERSERK - Guts Costume: Banquet Attire,2017-02-21,3.49,"KOEI TECMO GAMES CO., LTD.",Action,Action
"KOEI TECMO GAMES CO., LTD.",BERSERK - Casca Costume: Guts' Tank Top,BERSERK - Casca Costume: Guts' Tank Top,2017-02-21,3.49,"KOEI TECMO GAMES CO., LTD.",Action,Action
"KOEI TECMO GAMES CO., LTD.",BERSERK - Casca Costume: Winter Clothes,BERSERK - Casca Costume: Winter Clothes,2017-02-21,3.49,"KOEI TECMO GAMES CO., LTD.",Action,Action
"KOEI TECMO GAMES CO., LTD.",BERSERK - Schierke Costume: Town Girl,BERSERK - Schierke Costume: Town Girl,2017-02-21,3.49,"KOEI TECMO GAMES CO., LTD.",Action,Action
"KOEI TECMO GAMES CO., LTD.",BERSERK - Schierke Costume: Golem,BERSERK - Schierke Costume: Golem,2017-02-21,3.49,"KOEI TECMO GAMES CO., LTD.",Action,Action
MadOut Games,MadOut2 BigCity,MadOut2 BigCity,2017-02-21,8.99,MadOut Games,Action|Indie|Racing|Simulation|Sports,Indie|Action|Racing|Sports|Simulation|Open World
Ludomotion,Unexplored,Unexplored,2017-02-22,9.99,Ludomotion,Action|Adventure|Indie|RPG,Indie|RPG|Action|Adventure|Rogue-lite|Procedural Generation|Rogue-like|Perma Death|Dungeon Crawler|Replay Value|Great Soundtrack|Action RPG|2D
Milestone S.r.l.,Ride 2 2017 Top Bikes Pack,Ride 2 2017 Top Bikes Pack,2017-02-22,5.99,Milestone S.r.l.,Racing|Simulation|Sports,Simulation|Racing|Sports
Dovetail Games - Flight,FSX Steam Edition: Hawker Heroes Add-On,FSX Steam Edition: Hawker Heroes Add-On,2017-02-22,18.99,First Class Simulations,Simulation,Simulation
Funcom,Anarchy Online,Anarchy Online,2001-06-27,Free To Play,Funcom,Action|Adventure|Free to Play|Massively Multiplayer|RPG|Strategy,Free to Play|Massively Multiplayer|RPG|Adventure|Action|Sci-fi|Strategy|MMORPG|Open World
Joycity,FreeStyleFootball - Starter Pack,FreeStyleFootball - Starter Pack,2017-02-22,7.99,Joycity,Action|Casual|Free to Play|Massively Multiplayer|Sports|Strategy,Strategy|Action|Free to Play|Massively Multiplayer|Casual|Sports
Open Sorcery Games,Open Sorcery,Open Sorcery,2017-02-22,3.99,Abigail Corfman,Adventure|Indie|RPG,Adventure|Indie|RPG|Text-Based
"Klonk Games, Deck13, FFF Bayern",Shift Happens,Shift Happens,2017-02-22,14.99,Klonk Games,Action|Indie,Co-op|Local Co-Op|Online Co-Op|Puzzle-Platformer|Local Multiplayer|Indie|Action|Controller|Multiplayer|2.5D|Great Soundtrack|Puzzle|Platformer
The_Kiddy,Polterheist,Polterheist,2017-02-21,4.99,The_Kiddy,Action|Indie|Simulation,Action|Indie|Simulation|Survival|Horror|Stealth
BurstRay Games,Beauty Bounce,Beauty Bounce,2017-02-22,3.99,BurstRay Games,Adventure|Casual|Indie,Sexual Content|Nudity|Visual Novel|Indie|Casual|Adventure|Anime
Shiro Games,Northgard,Northgard,2017-02-22,19.99,Shiro Games,Indie|Simulation|Strategy|Early Access,Early Access|Strategy|City Builder|RTS|Resource Management|Multiplayer|Real-Time|Indie|Simulation|Medieval|4X|Survival|Singleplayer|Management|Co-op|Mythology|Action|War|Atmospheric|Adventure
Big Fish Games,Mystery Tales: The Lost Hope Collector's Edition,Mystery Tales: The Lost Hope Collector's Edition,2017-02-22,9.99,Domini Games,Adventure|Casual,Casual|Adventure|Hidden Object
Dragom,Virtual Battlemap DLC - Space Dungeons,Virtual Battlemap DLC - Space Dungeons,2017-02-22,14.99,Dragom,Design &amp; Illustration|Utilities,Design & Illustration|Utilities
Interplay Entertainment Corp.,Of Light and Darkness,Of Light and Darkness,1998-04-13,9.99,Tribal Dreams,Adventure|Strategy,Adventure|Strategy
ma_mutte,N0-EXIT,N0-EXIT,2017-02-22,0.99,ma_mutte,Action|Adventure|Indie|RPG|Strategy|Early Access,Early Access|Adventure|Action|Indie|RPG|Strategy
REDBANA CORPORATION,GRANADO ESPADA,GRANADO ESPADA,2007-07-10,Free to Play,"HANBITSOFT, INC.,IMC GAMES CO.,LTD.",Action|Free to Play|Massively Multiplayer|RPG|Strategy,Free to Play|Massively Multiplayer|RPG|Action|Strategy|Great Soundtrack|Anime|Adventure|MMORPG|Nudity
"Atomic Fabrik , Cristian Manolachi",Drop Hunt - Adventure Puzzle,Drop Hunt - Adventure Puzzle,2017-02-23,1.99,Oriplay,Adventure|Indie,Indie|Adventure|Puzzle|Casual|2D|Great Soundtrack|Funny|Difficult
Fairytale Distillery,The Exiled,The Exiled,2017-02-23,Free,Fairytale Distillery,Action|Massively Multiplayer|RPG|Early Access,Early Access|Massively Multiplayer|Action|RPG|Open World|PvP|Sandbox
Fairytale Distillery,The Exiled - Nomad Pack,The Exiled - Nomad Pack,2017-02-23,19.99,Fairytale Distillery,Action|Massively Multiplayer|RPG,Action|RPG|Massively Multiplayer
Fairytale Distillery,The Exiled - Vanguard Pack,The Exiled - Vanguard Pack,2017-02-23,79.99,Fairytale Distillery,Action|Massively Multiplayer|RPG,Action|RPG|Massively Multiplayer
Fairytale Distillery,The Exiled - Seeker Pack,The Exiled - Seeker Pack,2017-02-23,39.99,Fairytale Distillery,Action|Massively Multiplayer|RPG,Action|RPG|Massively Multiplayer
MyDearest,School of Talent: SUZU-ROUTE,School of Talent: SUZU-ROUTE,2017-02-23,8.99,MyDearest,Adventure|Casual|Indie,Adventure|Indie|Visual Novel|Casual|Anime|Music
Tiny Warrior Games,Frog Hop Soundtrack,Frog Hop Soundtrack,2017-02-23,4.99,Tiny Warrior Games,Action|Adventure|Indie,Action|Adventure|Indie
Awesome Games Studio,Badass Hero,Badass Hero,2017-02-24,9.99,Awesome Games Studio,Action|Adventure|Indie|RPG|Early Access,Early Access|Indie|Action|Rogue-like|RPG|Platformer|2D|Comic Book|Shooter|Side Scroller|Rogue-lite|Perma Death|Shoot 'Em Up|Adventure|Difficult|Replay Value|Procedural Generation|Fast-Paced|Arcade|Singleplayer
Cosy Goat,Seasteader,Seasteader,2017-02-24,29.99,Cosy Goat,Indie|Simulation|Strategy,Strategy|Simulation|Indie|Economy|City Builder|Resource Management|Management
Insignio Labs,Flute Master - Trick or Treat,Flute Master - Trick or Treat,2017-02-24,1.99,Insignio Labs,Indie,Indie
Mastfire Studios Pty Ltd,Blackwake,Blackwake,2017-02-24,19.99,Mastfire Studios Pty Ltd,Action|Casual|Indie|Strategy|Early Access,Early Access|Pirates|Multiplayer|Naval|Team-Based|Action|Strategy|Funny|First-Person|FPS|Indie|Violent|Co-op|Swordplay|Sailing|Atmospheric|Open World|Casual|Adventure|Difficult
Boxel Games,KByte,KByte,2017-02-24,4.99,"Daniel Gili,Joaquín Godoy,Emilio Martinez,Bruno Carro",Action|Casual|Indie,Casual|Action|Indie|Platformer
Insignio Labs,Flute Master - Epic Christmas,Flute Master - Epic Christmas,2017-02-24,1.99,Insignio Labs,Indie,Indie
Nauris Amatnieks,The Inner Darkness,The Inner Darkness,2017-02-24,4.99,Nauris Amatnieks,Adventure|Casual|Indie,Indie|Casual|Adventure|Pixel Graphics|Platformer|2D|Horror|Retro|Mystery|Action-Adventure|Singleplayer|Difficult
Orrery Games,Midnight at the Celestial Palace: Chapter I,Midnight at the Celestial Palace: Chapter I,2017-02-24,9.99,"Orrery Games,Blip Haus Design",Adventure|Indie,Adventure|Indie|Point & Click
Team Cherry,Hollow Knight,Hollow Knight,2017-02-24,14.99,Team Cherry,Action|Adventure|Indie,Metroidvania|Great Soundtrack|Difficult|Platformer|Indie|2D|Atmospheric|Adventure|Exploration|Action|Hand-drawn|Singleplayer|Dark Fantasy|Story Rich|Open World|Cute|Side Scroller|Controller|Multiple Endings|Gothic
KISS ltd,PD Artist 10,PD Artist 10,2017-02-24,18.99,"Daniel Ritchie - Squirreldome.com,Philip Staiger - TheBest3D.com",Design &amp; Illustration|Education|Photo Editing|Software Training|Utilities,Software Training|Design & Illustration|Utilities|Photo Editing|Education
Forever Entertainment S. A.,Wizrogue - Labyrinth of Wizardry,Wizrogue - Labyrinth of Wizardry,2017-02-24,11.99,Taito,Adventure|RPG,Adventure|RPG|Rogue-like|Dungeon Crawler
Individual Software,ResumeMaker® Professional Deluxe,ResumeMaker® Professional Deluxe,2017-02-24,29.99,Individual Software,Education,Education
IndieGala,Downward,Downward,2017-07-13,9.99,Caracal Games,Adventure|Indie,Parkour|Adventure|Indie|First-Person|Open World|Platformer|Singleplayer|Fantasy|Sci-fi|Action|Atmospheric|Great Soundtrack|Difficult|Puzzle|Casual|Story Rich|3D Platformer|Family Friendly|Short|Surreal
X.D. Network Inc.,ICEY - UCEY's Awakening,ICEY - UCEY's Awakening,2017-02-26,Free,FantaBlade Network,Action|Adventure|Indie|RPG,Action|Adventure|RPG|Indie
Pyromancers.com,Dungeon Painter Studio,Dungeon Painter Studio,2017-02-26,14.99,Pyromancers.com,Design &amp; Illustration|Early Access,Early Access|Design & Illustration
Pierre Brengues,Rogue'n Roll,Rogue'n Roll,2017-02-27,4.99,Pierre Brengues,Action|Indie,Action|Indie|Rogue-lite|Top-Down Shooter|Fast-Paced|Bullet Hell|Hack and Slash|Rogue-like
Nova Dimension,Alien Attack: Zero,Alien Attack: Zero,2017-02-25,0.99,Alien Jellyfish,Action|Adventure|Indie|Simulation,Indie|Action|Adventure|Simulation|Sci-fi|Pixel Graphics|Difficult|Cyberpunk
Cats Who Play,Syrian Warfare Original Soundtrack,Syrian Warfare Original Soundtrack,2017-02-27,3.99,Cats Who Play,Indie|Strategy,Strategy|Indie
MorfeoDev,Furious Angels,Furious Angels,2017-02-27,4.99,MorfeoDev,Action|Indie,Action|Indie|Destruction|Score Attack|Bullet Hell|Twin Stick Shooter|Survival|Shoot 'Em Up|Arcade|Shooter|Sci-fi|Replay Value|Top-Down|Tanks|Flight|Difficult
Enjoy Games,Armored Gear,Armored Gear,2017-02-27,2.99,Crystal Box Team,Action|Indie|Strategy,Indie|Action|Strategy|Retro|Great Soundtrack
"CFK Co., Ltd.",Eraser & Builder,Eraser &amp; Builder,2017-02-27,1.99,"CFK Co., Ltd.",Casual|Indie,Casual|Indie
inXile Entertainment,Torment: Tides of Numenera - Legacy Edition Upgrade,Torment: Tides of Numenera - Legacy Edition Upgrade,2017-02-28,19.99,inXile Entertainment,Adventure|Indie|RPG|Strategy,Strategy|Adventure|RPG|Indie
inXile Entertainment,Torment: Tides of Numenera - Immortal Edition Upgrade,Torment: Tides of Numenera - Immortal Edition Upgrade,2017-02-28,44.99,inXile Entertainment,Adventure|Indie|RPG|Strategy,Strategy|Adventure|RPG|Indie
"KOEI TECMO GAMES CO., LTD.",BERSERK - Additional Warhorse Set,BERSERK - Additional Warhorse Set,2017-02-28,6.99,"KOEI TECMO GAMES CO., LTD.",Action,Action
IronOak Games,For The King,For The King,2017-02-28,14.99,IronOak Games,Adventure|Indie|RPG|Strategy|Early Access,Early Access|RPG|Adventure|Turn-Based Combat|Strategy|Co-op|Indie|Turn-Based|Online Co-Op|Party-Based RPG|Turn-Based Strategy|Rogue-like|Strategy RPG|Fantasy|Board Game|Hex Grid|Multiplayer|Rogue-lite|Difficult
"KOEI TECMO GAMES CO., LTD.",BERSERK - Additional Scenario Set,BERSERK - Additional Scenario Set,2017-02-28,7.99,"KOEI TECMO GAMES CO., LTD.",Action,Action
Dagestan Technology,Minimized Ultimate,Minimized Ultimate,2017-02-28,1.99,Crystal Box Team,Action|Indie,Action|Indie
Slitherine LTD.,Command LIVE - Korean Missile Crisis,Command LIVE - Korean Missile Crisis,2017-02-28,2.99,WarfareSims,Simulation|Strategy,Strategy|Simulation
Anikids,My Vet Practice,My Vet Practice,2017-02-28,9.99,"Sproing,Neopica",Casual|Simulation,Casual|Simulation
Dovetail Games - Flight,FSX Steam Edition: Cessna CU206 Stationair Add-On,FSX Steam Edition: Cessna CU206 Stationair Add-On,2017-02-28,19.99,Carenado,Simulation,Simulation
Dovetail Games - Flight,FSX Steam Edition: Toposim US Northeast Add-On,FSX Steam Edition: Toposim US Northeast Add-On,2017-02-28,14.99,Toposim,Simulation,Simulation
Just1337 Publisher,Slash It 2 - A Himitsu Exclusive Edition,Slash It 2 - A Himitsu Exclusive Edition,2017-02-28,0.99,Just1337 Studio,Action|Casual|Indie,Action|Indie|Casual
BANDAI NAMCO Entertainment,DRAGON BALL XENOVERSE 2 - DB Super Pack 2,DRAGON BALL XENOVERSE 2 - DB Super Pack 2,2017-02-28,7.99,"QLOC,DIMPS",Action|Adventure|Casual|Massively Multiplayer,Action|Adventure|Massively Multiplayer|Casual
Just1337 Publisher,Slash It 2 - JanjiMusic Exclusive Edition,Slash It 2 - JanjiMusic Exclusive Edition,2017-02-28,0.99,Just1337 Studio,Action|Casual|Indie,Action|Indie|Casual
Just1337 Publisher,Slash It 2 - Elexive Exclusive Edition,Slash It 2 - Elexive Exclusive Edition,2017-02-28,Free To Play,Just1337 Studio,Action|Casual|Indie,Action|Indie|Casual
Andy Howard Games,Bayou Island - Point and Click Adventure,Bayou Island - Point and Click Adventure,2017-02-28,1.99,Andy Howard Games,Adventure|Casual|Indie,Adventure|Indie|Casual|Point & Click|Mystery|Singleplayer|Puzzle|Atmospheric|Comedy|Great Soundtrack|Exploration|Funny|Drama|Third Person|Story Rich|Psychological
Ubisoft,Tom Clancy's The Division™ - Last Stand,Tom Clancy's The Division™ - Last Stand,2017-02-28,14.99,Massive Entertainment,Action|Adventure|RPG,Adventure|RPG|Action
2K,WWE 2K17 - Hall of Fame Showcase,WWE 2K17 - Hall of Fame Showcase,2017-02-28,9.99,"Visual Concepts,Yuke's Co., LTD",Simulation|Sports,Simulation|Sports
Limed,Turn Around,Turn Around,2017-02-28,0.99,"Limed,lalalaZero,Urbanoff",Action|Adventure|Indie,Indie|Action|Adventure|Gore|Violent|Horror
Babloon Studios,Blowhards,Blowhards,2017-02-28,9.99,Babloon Studios,Action|Casual|Indie,Action|Casual|Indie|4 Player Local|Local Multiplayer|Cartoony|Fighting|Multiplayer|Platformer|Beat 'em up
NCH Software,WavePad Audio Editor,WavePad Audio Editor,2017-02-28,99.99,NCH Software,Audio Production,Audio Production
Adult Swim Games,DESYNC,DESYNC,2017-02-28,14.99,The Foregone Syndicate,Action|Indie,Action|Indie|Great Soundtrack|FPS|Shooter|Difficult|Cyberpunk|Colorful
Individual Software,Professor Teaches® Excel 2016 – Mac,Professor Teaches® Excel 2016 – Mac,2017-02-28,14.99,Individual Software,Software Training,Software Training
Individual Software,Professor Teaches® Word 2016 – Mac,Professor Teaches® Word 2016 – Mac,2017-02-28,14.99,Individual Software,Software Training,Software Training
Fractal Phase,Sky Rogue Original Soundtrack,Sky Rogue Original Soundtrack,2017-02-28,6.99,Fractal Phase,Action|Simulation,Action|Simulation
2xMilk,VThree,VThree,2017-02-28,7.99,2xMilk,Action|Indie|Racing|Early Access,Early Access|Action|Indie|Racing|Parkour|3D Platformer|First-Person|Singleplayer|Multiplayer|Platformer|Adventure|Fast-Paced|FPS
Watercolor Games,Oracle,Oracle,2017-02-28,1.99,Watercolor Games,Adventure|Casual|Indie|Simulation,Adventure|Indie|Walking Simulator|Casual|Simulation|Open World|Singleplayer|Story Rich|Atmospheric|First-Person|Great Soundtrack
NerdyYetis,Space Fuss,Space Fuss,2017-02-28,4.99,NerdyYetis,Action|Indie|Strategy,Indie|Action|Strategy|Arcade|2D|Space|Funny|Comedy|Side Scroller|Casual|Surreal|Retro|Dark Humor|Time Manipulation|Story Rich|Management|Controller
Dovetail Games - Flight,FSX Steam Edition: Farm Strips Vol 2: Central and Southern England Add-On,FSX Steam Edition: Farm Strips Vol 2: Central and Southern England Add-On,2017-03-01,9.99,Neil Birch,Simulation,Simulation
Insignio Labs,Water Heroes: A Game for Change,Water Heroes: A Game for Change,2017-03-01,4.99,Insignio Labs,Indie,Indie|Puzzle|Great Soundtrack
Dovetail Games - Trains,Train Simulator: North London & Goblin Lines Add-On,Train Simulator: North London &amp; Goblin Lines Add-On,2017-03-01,39.99,Dovetail Games,Simulation,Simulation
the_dobrokot,Doug and Lily,Doug and Lily,2017-03-01,0.99,the_dobrokot,Action|Adventure|Indie,Indie|Action|Adventure|Platformer
